Aikaleima,Tuulituotanto,Kapasiteetti
2017-12-31 02:00:00+02:00,937.0,1892.0
2017-12-31 03:00:00+02:00,954.0,1892.0
2017-12-31 04:00:00+02:00,916.0,1892.0
2017-12-31 05:00:00+02:00,923.0,1892.0
2017-12-31 06:00:00+02:00,868.0,1892.0
2017-12-31 07:00:00+02:00,856.0,1892.0
2017-12-31 08:00:00+02:00,850.0,1892.0
2017-12-31 09:00:00+02:00,893.0,1892.0
2017-12-31 10:00:00+02:00,894.0,1892.0
2017-12-31 11:00:00+02:00,865.0,1892.0
2017-12-31 12:00:00+02:00,864.0,1892.0
2017-12-31 13:00:00+02:00,871.0,1892.0
2017-12-31 14:00:00+02:00,894.0,1892.0
2017-12-31 15:00:00+02:00,895.0,1892.0
2017-12-31 16:00:00+02:00,958.0,1892.0
2017-12-31 17:00:00+02:00,982.0,1892.0
2017-12-31 18:00:00+02:00,950.0,1892.0
2017-12-31 19:00:00+02:00,953.0,1892.0
2017-12-31 20:00:00+02:00,921.0,1892.0
2017-12-31 21:00:00+02:00,949.0,1892.0
2017-12-31 22:00:00+02:00,938.0,1892.0
2017-12-31 23:00:00+02:00,934.0,1892.0
2018-01-01 00:00:00+02:00,877.0,1892.0
2018-01-01 01:00:00+02:00,904.0,1892.0
2018-01-01 02:00:00+02:00,923.0,1892.0
2018-01-01 03:00:00+02:00,911.0,1892.0
2018-01-01 04:00:00+02:00,924.0,1892.0
2018-01-01 05:00:00+02:00,867.0,1892.0
2018-01-01 06:00:00+02:00,863.0,1892.0
2018-01-01 07:00:00+02:00,829.0,1892.0
2018-01-01 08:00:00+02:00,798.0,1892.0
2018-01-01 09:00:00+02:00,792.0,1892.0
2018-01-01 10:00:00+02:00,760.0,1892.0
2018-01-01 11:00:00+02:00,728.0,1892.0
2018-01-01 12:00:00+02:00,670.0,1892.0
2018-01-01 13:00:00+02:00,646.0,1892.0
2018-01-01 14:00:00+02:00,593.0,1892.0
2018-01-01 15:00:00+02:00,582.0,1892.0
2018-01-01 16:00:00+02:00,600.0,1892.0
2018-01-01 17:00:00+02:00,555.0,1892.0
2018-01-01 18:00:00+02:00,521.0,1892.0
2018-01-01 19:00:00+02:00,499.0,1892.0
2018-01-01 20:00:00+02:00,474.0,1892.0
2018-01-01 21:00:00+02:00,466.0,1892.0
2018-01-01 22:00:00+02:00,430.0,1892.0
2018-01-01 23:00:00+02:00,402.0,1892.0
2018-01-02 00:00:00+02:00,385.0,1892.0
2018-01-02 01:00:00+02:00,352.0,1892.0
2018-01-02 02:00:00+02:00,315.0,1892.0
2018-01-02 03:00:00+02:00,255.0,1892.0
2018-01-02 04:00:00+02:00,237.0,1892.0
2018-01-02 05:00:00+02:00,225.0,1892.0
2018-01-02 06:00:00+02:00,215.0,1892.0
2018-01-02 07:00:00+02:00,189.0,1892.0
2018-01-02 08:00:00+02:00,179.0,1892.0
2018-01-02 09:00:00+02:00,157.0,1892.0
2018-01-02 10:00:00+02:00,140.0,1892.0
2018-01-02 11:00:00+02:00,129.0,1892.0
2018-01-02 12:00:00+02:00,119.0,1892.0
2018-01-02 13:00:00+02:00,110.0,1892.0
2018-01-02 14:00:00+02:00,96.0,1892.0
2018-01-02 15:00:00+02:00,128.0,1892.0
2018-01-02 16:00:00+02:00,174.0,1892.0
2018-01-02 17:00:00+02:00,189.0,1892.0
2018-01-02 18:00:00+02:00,248.0,1892.0
2018-01-02 19:00:00+02:00,288.0,1892.0
2018-01-02 20:00:00+02:00,321.0,1892.0
2018-01-02 21:00:00+02:00,359.0,1892.0
2018-01-02 22:00:00+02:00,391.0,1892.0
2018-01-02 23:00:00+02:00,443.0,1892.0
2018-01-03 00:00:00+02:00,529.0,1892.0
2018-01-03 01:00:00+02:00,585.0,1892.0
2018-01-03 02:00:00+02:00,672.0,1892.0
2018-01-03 03:00:00+02:00,725.0,1892.0
2018-01-03 04:00:00+02:00,748.0,1892.0
2018-01-03 05:00:00+02:00,732.0,1892.0
2018-01-03 06:00:00+02:00,721.0,1892.0
2018-01-03 07:00:00+02:00,687.0,1892.0
2018-01-03 08:00:00+02:00,662.0,1892.0
2018-01-03 09:00:00+02:00,660.0,1892.0
2018-01-03 10:00:00+02:00,655.0,1892.0
2018-01-03 11:00:00+02:00,626.0,1892.0
2018-01-03 12:00:00+02:00,565.0,1892.0
2018-01-03 13:00:00+02:00,519.0,1892.0
2018-01-03 14:00:00+02:00,450.0,1892.0
2018-01-03 15:00:00+02:00,394.0,1892.0
2018-01-03 16:00:00+02:00,428.0,1892.0
2018-01-03 17:00:00+02:00,422.0,1892.0
2018-01-03 18:00:00+02:00,420.0,1892.0
2018-01-03 19:00:00+02:00,406.0,1892.0
2018-01-03 20:00:00+02:00,385.0,1892.0
2018-01-03 21:00:00+02:00,320.0,1892.0
2018-01-03 22:00:00+02:00,231.0,1892.0
2018-01-03 23:00:00+02:00,203.0,1892.0
2018-01-04 00:00:00+02:00,194.0,1892.0
2018-01-04 01:00:00+02:00,169.0,1892.0
2018-01-04 02:00:00+02:00,166.0,1892.0
2018-01-04 03:00:00+02:00,160.0,1892.0
2018-01-04 04:00:00+02:00,155.0,1892.0
2018-01-04 05:00:00+02:00,171.0,1892.0
2018-01-04 06:00:00+02:00,190.0,1892.0
2018-01-04 07:00:00+02:00,195.0,1892.0
2018-01-04 08:00:00+02:00,213.0,1892.0
2018-01-04 09:00:00+02:00,249.0,1892.0
2018-01-04 10:00:00+02:00,299.0,1892.0
2018-01-04 11:00:00+02:00,352.0,1892.0
2018-01-04 12:00:00+02:00,384.0,1892.0
2018-01-04 13:00:00+02:00,432.0,1892.0
2018-01-04 14:00:00+02:00,429.0,1892.0
2018-01-04 15:00:00+02:00,442.0,1892.0
2018-01-04 16:00:00+02:00,487.0,1892.0
2018-01-04 17:00:00+02:00,524.0,1892.0
2018-01-04 18:00:00+02:00,567.0,1892.0
2018-01-04 19:00:00+02:00,639.0,1892.0
2018-01-04 20:00:00+02:00,684.0,1892.0
2018-01-04 21:00:00+02:00,737.0,1892.0
2018-01-04 22:00:00+02:00,775.0,1892.0
2018-01-04 23:00:00+02:00,796.0,1892.0
2018-01-05 00:00:00+02:00,842.0,1892.0
2018-01-05 01:00:00+02:00,891.0,1892.0
2018-01-05 02:00:00+02:00,939.0,1892.0
2018-01-05 03:00:00+02:00,975.0,1892.0
2018-01-05 04:00:00+02:00,1005.0,1892.0
2018-01-05 05:00:00+02:00,1018.0,1892.0
2018-01-05 06:00:00+02:00,1018.0,1892.0
2018-01-05 07:00:00+02:00,1041.0,1892.0
2018-01-05 08:00:00+02:00,1016.0,1892.0
2018-01-05 09:00:00+02:00,963.0,1892.0
2018-01-05 10:00:00+02:00,923.0,1892.0
2018-01-05 11:00:00+02:00,901.0,1892.0
2018-01-05 12:00:00+02:00,867.0,1892.0
2018-01-05 13:00:00+02:00,837.0,1892.0
2018-01-05 14:00:00+02:00,815.0,1892.0
2018-01-05 15:00:00+02:00,790.0,1892.0
2018-01-05 16:00:00+02:00,741.0,1892.0
2018-01-05 17:00:00+02:00,701.0,1892.0
2018-01-05 18:00:00+02:00,679.0,1892.0
2018-01-05 19:00:00+02:00,661.0,1892.0
2018-01-05 20:00:00+02:00,623.0,1892.0
2018-01-05 21:00:00+02:00,602.0,1892.0
2018-01-05 22:00:00+02:00,554.0,1892.0
2018-01-05 23:00:00+02:00,510.0,1892.0
2018-01-06 00:00:00+02:00,460.0,1892.0
2018-01-06 01:00:00+02:00,422.0,1892.0
2018-01-06 02:00:00+02:00,363.0,1892.0
2018-01-06 03:00:00+02:00,339.0,1892.0
2018-01-06 04:00:00+02:00,336.0,1892.0
2018-01-06 05:00:00+02:00,342.0,1892.0
2018-01-06 06:00:00+02:00,357.0,1892.0
2018-01-06 07:00:00+02:00,380.0,1892.0
2018-01-06 08:00:00+02:00,394.0,1892.0
2018-01-06 09:00:00+02:00,384.0,1892.0
2018-01-06 10:00:00+02:00,378.0,1892.0
